Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Total - Persons,Total - Males,Total - Females,Religious communities - Hindu - Persons,Religious communities - Hindu - Males,Religious communities - Hindu - Females,Religious communities - Muslim - Persons,Religious communities - Muslim - Males,Religious communities - Muslim - Females,Religious communities - Christian - Persons,Religious communities - Christian - Males,Religious communities - Christian - Females,Religious communities - Sikh - Persons,Religious communities - Sikh - Males,Religious communities - Sikh - Females,Religious communities - Buddhist - Persons,Religious communities - Buddhist - Males,Religious communities - Buddhist - Females,Religious communities - Jain - Persons,Religious communities - Jain - Males,Religious communities - Jain - Females,Religious communities - Other religious communities - Persons,Religious communities - Other religious communities - Males,Religious communities - Other religious communities - Females
C4415,33,02,0000,District - Chennai  02,Total,55-59,134810,68722,66088,112189,56826,55363,10617,5678,4939,10295,5283,5012,87,55,32,47,30,17,1335,726,609,65,34,31
C4415,33,02,0000,District - Chennai  02,Total,60-64,124970,62277,62693,105342,52397,52945,9128,4737,4391,9171,4457,4714,66,42,24,29,16,13,1055,540,515,39,20,19
C4415,33,02,0000,District - Chennai  02,Total,65-69,88377,43241,45136,74356,36320,38036,6208,3230,2978,6630,3084,3546,46,31,15,41,18,23,908,464,444,49,21,28
C4415,33,02,0000,District - Chennai  02,Total,70-74,63406,31637,31769,53853,26801,27052,4188,2177,2011,4632,2299,2333,35,16,19,19,9,10,551,282,269,27,10,17
C4415,33,02,0000,District - Chennai  02,Total,75-79,34395,17527,16868,29277,14969,14308,2002,1053,949,2665,1307,1358,18,10,8,16,5,11,324,141,183,19,10,9
C4415,33,02,0000,District - Chennai  02,Total,80+,39678,18780,20898,33769,16001,17768,2508,1187,1321,2883,1343,1540,25,20,5,17,9,8,353,161,192,22,9,13
C4415,33,02,0000,District - Chennai  02,Total,Age not stated,128291,66996,61295,106451,55651,50800,10211,5308,4903,9190,4666,4524,99,53,46,67,32,35,978,509,469,32,15,17
C4415,33,02,0000,District - Chennai  02,Rural,All ages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C4415,33,02,0000,District - Chennai  02,Rural,0-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C4415,33,02,0000,District - Chennai  02,Rural,5-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C4415,33,02,0000,District - Chennai  02,Rural,10-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C4415,33,02,0000,District - Chennai  02,Rural,15-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C4415,33,02,0000,District - Chennai  02,Rural,20-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C4415,33,02,0000,District - Chennai  02,Rural,25-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C4415,33,02,0000,District - Chennai  02,Rural,30-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C4415,33,02,0000,District - Chennai  02,Rural,35-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C4415,33,02,0000,District - Chennai  02,Rural,40-44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C4415,33,02,0000,District - Chennai  02,Rural,45-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C4415,33,02,0000,District - Chennai  02,Rural,50-54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
